id,internship_name,company,stipend,posted,portal,applied_date,call_back
2209082,Web Development,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2209036,Database Administration,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2209083,Data Science,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2209034,Data Analysis,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2209089,Database Building/Management,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2209097,Database Building/Management,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-07,
2222535,Software Development (Frontend),Clofio,"₹ 15,000 /month",2 days ago,internshala,2023-07-07,
2223451,Webflow Development,EduGo,"₹ 12,000-15,000 /month",Just now,internshala,2023-07-07,
2223920,HubSpot Development,Bijon Trading Private Limited (Genotek),"₹ 12,000-12,500 /month",2 days ago,internshala,2023-07-07,
2222023,Web Development - WordPress,Kirabiz Technologies,"₹ 1,000 /month +  Incentives",Few hours ago,internshala,2023-07-08,
2227533,Flutter Development,Firstricoz Private Limited,"₹ 3,000 /month",Few hours ago,internshala,2023-07-08,
2211643,Flutter App Developer,Tecudia,"₹ 3,000-8,000 /month",unknown,internshala,2023-07-08,
2211645,Backend Development,Tecudia,"₹ 3,000-8,000 /month",unknown,internshala,2023-07-08,
2204877,Software Testing & Automation,Login2Xplore,"₹ 7,500 lump sum",unknown,internshala,2023-07-08,
2226592,Full Stack Development,Nomatic Techworks Private Limited,"₹ 20,000-25,000 /month",1 day ago,internshala,2023-07-08,
2208006,Python Backend Engineer (Django) (For 2023  Graduates Only),Primenumbers Technologies,"₹ 20,000 /month",unknown,internshala,2023-07-08,
2208696,Software Development Engineering (Web),StudyMonk,"₹ 15,000-20,000 /month",unknown,internshala,2023-07-08,
2223048,Full Stack Development -  MERN-Headless CMS Strapi,Metaverse Ventures Private Limited,"₹ 14,000-21,000 /month",unknown,internshala,2023-07-08,
2221751,Unreal Development,HEXR Factory,"₹ 12,000 /month",2 days ago,internshala,2023-07-08,
2208981,Java Spring Boot Development,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-08,
2209094,Embedded Systems,StudyMonk,"₹ 10,000-15,000 /month",unknown,internshala,2023-07-08,
2225853,Front End Development (ReactJS),Omikron Technologies Private Limited,"₹ 10,000 /month",1 day ago,internshala,2023-07-08,
2223761,Ruby On Rails Development,Storiesofcommonman,"₹ 10,000 /month",unknown,internshala,2023-07-08,
2223411,Energy Science and Engineering,Nernst Energy System LLP,"₹ 10,000-12,500 /month",Today,internshala,2023-07-08,
2219562,Augmented Reality Based Android App Development,Piltover Technologies,"₹ 10,000 /month",unknown,internshala,2023-07-08,
2227627,Mobile App Development (Android),W3Dev,"₹ 5,000-7,000 /month",Few hours ago,internshala,2023-07-08,
2212399,Electronics Design,Srushty Global Solutions Private Limited,"₹ 8,000-10,000 /month",unknown,internshala,2023-07-08,
2215214,Full Stack AI,Persist Ventures,"₹ 20,000 /month",unknown,internshala,2023-07-08,
2226759,Game Development,MentorBoxx,"₹ 18,000 /month",Today,internshala,2023-07-08,
2217960,Blockchain Development,Buddha Education Association Incorporation,"₹ 18,000 /month",unknown,internshala,2023-07-08,
2220621,Nest.js & Blockchain Development,Metaverse Ventures Private Limited,"₹ 16,000-21,000 /month",unknown,internshala,2023-07-08,
2209931,Research Engineering - Generative AI,GDAS,"₹ 15,000-25,000 /month",unknown,internshala,2023-07-08,
2215213,Applied AI (Open AI),Persist Ventures,"₹ 15,000 /month",unknown,internshala,2023-07-08,
2215215,Full Stack Development,Persist Ventures,"₹ 20,000 /month",unknown,internshala,2023-07-08,
2222815,Front End Development,S7works,"₹ 12,000 /month",1 day ago,internshala,2023-07-08,
2209844,Backend Development (Python),S7works,"₹ 12,000 /month",unknown,internshala,2023-07-08,
2226473,Flutter Development,Alkraj Developers Private Limited,"₹ 7,000 /month",Few hours ago,internshala,2023-07-08,
2220976,PHP Development,Cehpoint,"₹ 3,000 /month",unknown,internshala,2023-07-08,
2216245,Full Stack Development,Geneus Solutions,"₹ 2,000 /month",unknown,internshala,2023-07-08,
2227050,Tech Mentoring,Tutedude,"₹ 5,000 /month",Few hours ago,internshala,2023-07-08,
